date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:37	4437/4437	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Oct%202025%2016:03:35%20GMT	https://skyro.ai/domov	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/domov.html	(from )
18:03:37	1272/1272	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Oct%202025%2016:03:35%20GMT	https://skyro.ai/robots.txt		(from )
18:03:37	528104/528104	---M--	200	added ('OK')	image/png	etag:%2280ee8-615cbcb93185a%22	https://www.skyro.ai/cms/storage/app/media//seo-image.png	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/www.skyro.ai/cms/storage/app/media/seo-image.png	(from https://skyro.ai/domov)
18:03:38	59877/59877	---M--	200	added ('OK')	image/png	etag:%22e9e5-641a6b9639048%22	https://skyro.ai/app-icon.png	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/app-icon.png	(from https://skyro.ai/domov)
18:03:39	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Oct%202025%2016:03:36%20GMT	http://skyro.ai/favicon.png	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/favicon.3.delayed	(from https://skyro.ai/domov)
18:03:40	61936/61936	---M--	200	added ('OK')	image/png	etag:%22f1f0-641a6b962e466%22	https://skyro.ai/favicon.png	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/favicon.png	(from https://skyro.ai/domov)
18:03:40	99311/99311	---M-Z	200	added ('OK')	application/javascript	etag:%22183ef-62ddc90f2f299-gzip%22	https://cdn-cookieyes.com/client_data/b711b8dc7bf2cf3eb2e0d039/script.js	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/cdn-cookieyes.com/client_data/b711b8dc7bf2cf3eb2e0d039/script.js	(from https://skyro.ai/domov)
18:03:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2021%20Oct%202025%2016:03:38%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/www.googletagmanager.com/gtm.65445.delayed	(from https://skyro.ai/domov)
18:03:41	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Oct%202025%2016:03:39%20GMT	http://skyro.ai/skyro.ai	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/skyro.ai	(from https://skyro.ai/domov)
18:03:42	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Oct%202025%2016:03:40%20GMT	http://skyro.ai/assets/index-NwOa9GnJ.js	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/assets/index-NwOa9GnJ.js	(from https://skyro.ai/domov)
18:03:42	2862/2862	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Oct%202025%2016:03:40%20GMT	https://skyro.ai/skyro.ai	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/skyro.html	(from https://skyro.ai/domov)
18:03:42	1617369/1617369	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218add9-641a6b9a9738a%22	https://skyro.ai/assets/index-NwOa9GnJ.js	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/assets/index-NwOa9GnJ.js	(from https://skyro.ai/domov)
18:03:44	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Oct%202025%2016:03:41%20GMT	http://skyro.ai/assets/index-Bs2dUQc2.css	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/assets/index-Bs2dUQc2.css	(from https://skyro.ai/domov)
18:03:44	133455/133455	---MCZ	200	added ('OK')	text/css	etag:W/%222094f-641a6b9a5aac1%22	https://skyro.ai/assets/index-Bs2dUQc2.css	C:/Users/mato/devel/random/skyro.ai/Skyro.ai/skyro.ai/assets/index-Bs2dUQc2.css	(from https://skyro.ai/domov)
